本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 13/40 盘：卡罗康式，白方 v4，黑方 material =====
45. material：Rh8+ | 深度 4 | 5.00 秒
45... v4：Kg7 | 深度 5 | 1.12 秒
46. material：Rh2 | 深度 4 | 5.00 秒
46... v4：Rg1 | 深度 5 | 3.07 秒
47. material：Qxc4 | 深度 4 | 5.00 秒
47... v4：Bf4 | 深度 5 | 4.05 秒
48. material：Rb2 | 深度 4 | 5.00 秒
48... v4：Rg3 | 深度 4 | 5.00 秒
49. material：Qb4 | 深度 4 | 5.00 秒
49... v4：Be3 | 深度 4 | 5.00 秒
50. material：Qc4 | 深度 4 | 5.00 秒
50... v4：Bf4 | 深度 4 | 5.00 秒
51. material：Qb4 | 深度 4 | 5.00 秒
51... v4：Be3 | 深度 4 | 5.00 秒
52. material：Qb7 | 深度 4 | 5.00 秒
52... v4：Bg5 | 深度 4 | 5.00 秒
53. material：Qb3 | 深度 4 | 5.00 秒
53... v4：e5 | 深度 4 | 5.00 秒
54. material：dxe5 | 深度 4 | 5.00 秒
54... v4：fxe5 | 深度 5 | 3.85 秒
55. material：Qa3 | 深度 4 | 5.00 秒
55... v4：Rg1 | 深度 4 | 5.00 秒
56. material：Kb3 | 深度 4 | 5.00 秒
56... v4：Rd1 | 深度 4 | 5.00 秒
57. material：Qa2 | 深度 4 | 5.00 秒
57... v4：Rg1 | 深度 4 | 5.00 秒
58. material：c4 | 深度 4 | 5.00 秒
58... v4：e4 | 深度 4 | 5.00 秒
59. material：Rg2 | 深度 4 | 5.00 秒
59... v4：Rxg2 | 深度 5 | 0.91 秒
60. material：Qxg2 | 深度 5 | 1.25 秒
60... v4：Kh6 | 深度 5 | 1.12 秒
61. material：Qh1+ | 深度 4 | 5.00 秒
61... v4：Kg7 | 深度 5 | 1.29 秒
62. material：Qxe4 | 深度 5 | 3.79 秒
62... v4：Bd8 | 深度 5 | 4.63 秒
63. material：Kb4 | 深度 4 | 5.00 秒
63... v4：Bg5 | 深度 5 | 2.69 秒
64. material：Kc5 | 深度 4 | 5.00 秒
64... v4：Bf6 | 深度 5 | 2.68 秒
65. material：Qd5 | 深度 4 | 5.00 秒
65... v4：Bc3 | 深度 5 | 2.99 秒
66. material：Qd6 | 深度 4 | 5.00 秒
66... v4：Bf6 | 深度 5 | 3.42 秒
67. material：Qb6 | 深度 4 | 5.00 秒
67... v4：Be5 | 深度 5 | 4.24 秒
68. material：Qb7 | 深度 5 | 3.53 秒
68... v4：Kf6 | 深度 5 | 3.78 秒
69. material：Kc6 | 深度 4 | 5.00 秒
69... v4：Kg6 | 深度 5 | 4.54 秒
70. material：Kb5 | 深度 4 | 5.00 秒
70... v4：Kf6 | 深度 5 | 4.76 秒
71. material：Kb6 | 深度 4 | 5.00 秒
71... v4：Kg6 | 深度 5 | 3.61 秒
72. material：Qa6 | 深度 4 | 5.00 秒
72... v4：Bd4+ | 深度 5 | 4.64 秒
73. material：Kb7+ | 深度 5 | 1.02 秒
73... v4：Kf5 | 深度 5 | 4.03 秒
74. material：Qc6 | 深度 4 | 5.00 秒
74... v4：f6 | 深度 5 | 4.02 秒
75. material：Qc7 | 深度 4 | 5.00 秒
75... v4：Ke4 | 深度 5 | 3.93 秒
76. material：Qc6+ | 深度 5 | 4.03 秒
76... v4：Ke3 | 深度 5 | 2.36 秒
77. material：Qc7 | 深度 4 | 5.00 秒
77... v4：f5 | 深度 5 | 3.70 秒
78. material：Qc6 | 深度 4 | 5.00 秒
78... v4：Be5 | 深度 4 | 5.00 秒
79. material：Qb6+ | 深度 4 | 5.00 秒
79... v4：Bd4 | 深度 5 | 3.04 秒
80. material：Qa6 | 深度 4 | 5.00 秒
80... v4：Kf4 | 深度 4 | 5.00 秒
81. material：Qc6 | 深度 5 | 4.24 秒
81... v4：Kg5 | 深度 5 | 3.39 秒
82. material：Qc7 | 深度 4 | 5.00 秒
82... v4：Kg4 | 深度 5 | 3.52 秒
83. material：Qc6 | 深度 4 | 5.00 秒
83... v4：Kf4 | 深度 5 | 3.60 秒
84. material：Qc7+ | 深度 4 | 5.00 秒
84... v4：Kf3 | 深度 5 | 4.32 秒
85. material：Qc6+ | 深度 4 | 5.00 秒
85... v4：Kf4 | 深度 5 | 3.79 秒
86. material：Qc7+ | 深度 4 | 5.00 秒
