本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 3/40 盘：后翼弃兵发展，白方 v4，黑方 material =====
117. v4：Kc4 | 深度 5 | 2.40 秒
117... material：Kg2 | 深度 5 | 3.89 秒
118. v4：Kd5 | 深度 5 | 1.52 秒
118... material：Rf4 | 深度 5 | 4.96 秒
119. v4：Kc5 | 深度 5 | 0.98 秒
119... material：Kf2 | 深度 5 | 4.56 秒
120. v4：Kd5 | 深度 5 | 0.91 秒
120... material：Rf3 | 深度 5 | 3.86 秒
本盘结果：*，原因：move_limit_unfinished

===== 第 4/40 盘：后翼弃兵发展，白方 material，黑方 v4 =====
4. material：cxd5 | 深度 4 | 5.00 秒
4... v4：exd5 | 深度 4 | 5.00 秒
5. material：Bg5 | 深度 4 | 5.00 秒
5... v4：Nc6 | 深度 4 | 5.00 秒
6. material：e3 | 深度 3 | 5.00 秒
6... v4：h6 | 深度 3 | 5.00 秒
7. material：Bh4 | 深度 4 | 5.00 秒
7... v4：g5 | 深度 4 | 5.00 秒
8. material：Bg3 | 深度 4 | 5.00 秒
8... v4：Bd7 | 深度 3 | 5.00 秒
9. material：Bd3 | 深度 3 | 5.00 秒
9... v4：Bg7 | 深度 3 | 5.00 秒
10. material：h4 | 深度 3 | 5.00 秒
10... v4：Rf8 | 深度 3 | 5.00 秒
11. material：Nge2 | 深度 3 | 5.00 秒
11... v4：Qe7 | 深度 4 | 5.00 秒
12. material：hxg5 | 深度 3 | 5.00 秒
12... v4：hxg5 | 深度 4 | 5.00 秒
13. material：Bxc7 | 深度 3 | 5.00 秒
13... v4：Nb4 | 深度 4 | 5.00 秒
14. material：Bb1 | 深度 4 | 5.00 秒
14... v4：Rc8 | 深度 3 | 5.00 秒
15. material：Be5 | 深度 4 | 5.00 秒
15... v4：Nc6 | 深度 3 | 5.00 秒
16. material：Nxd5 | 深度 4 | 5.00 秒
16... v4：Nxd5 | 深度 4 | 5.00 秒
17. material：Bxg7 | 深度 4 | 5.00 秒
17... v4：Rg8 | 深度 4 | 5.00 秒
18. material：Bh6 | 深度 3 | 5.00 秒
18... v4：Bg4 | 深度 3 | 5.00 秒
19. material：Qb3 | 深度 3 | 5.00 秒
19... v4：Bxe2 | 深度 3 | 5.00 秒
20. material：Bh7 | 深度 3 | 5.00 秒
20... v4：Rh8 | 深度 4 | 5.00 秒
21. material：Qxd5 | 深度 4 | 5.00 秒
